customerid,firstname,lastname,streetaddress,city,state,zipcode,email,phonenumber,firstpurchasedate,subscribedtoemaillist,gender
101811,Kenneth,Walton,6715 Commonwealth Dr,Sacramento,CA,94256,walton.k76@fastmail.com,(916) 918-1561,2013-05-30,false,M
103508,Madeleine,Jones,3603 Leola Way,Sacramento,CA,94258,j_madeleine@gmail.com,(916) 186-9423,2013-02-06,false,F
104939,Damen,Wheeler,6740 Branwood Way,Orangevale,CA,95662,dwheeler@outlook.com,(916) 164-1156,2013-04-11,false,M
105549,Kevin,Gilbert,3198 Livingston Way,Folsom,CA,95671,kgilbert@fastmail.com,(916) 304-9859,2013-02-28,true,M
105771,John,Young,663 Westward Way,Sacramento,CA,95899,john.y90@mail.com,(916) 730-6109,2013-09-05,true,M
108708,Tommy,Kono,3179 Camelia River Way,Isleton,CA,95641,tkono@outlook.com,(916) 119-3967,2012-07-01,false,M
109251,Anna,Himes,5507 Chimango Way,Sacramento,CA,94207,h_anna@fastmail.com,(916) 198-9609,2012-10-26,true,F
110363,Marjorie,Love,3462 Mellowoods Way,Sacramento,CA,94299,lmarjorie54@icloud.com,(916) 736-1033,2013-08-22,true,F
111486,Nina,Schreiner,1182 Dornajo Way,Sacramento,CA,94239,schreiner_n@mail.com,(916) 216-1413,2013-05-01,false,F
111991,Marc,Newfield,6887 Conklin Ct,Sacramento,CA,95832,mnewfield@icloud.com,(916) 418-2002,2013-01-06,true,M
112690,Tom,Hanks,9375 Ahart Way,Ryde,CA,95680,hanks_t5@mail.com,(916) 165-9126,2012-09-02,false,M
116690,Christian,Wellisch,8725 Capistrano Way,Sacramento,CA,94208,wellisch.c@mail.com,(916) 811-7804,2013-02-27,false,M
116934,Audrey,Tapp,2816 West Pkwy,Sacramento,CA,94267,t_audrey94@outlook.com,(916) 711-5520,2012-12-06,true,F
119406,Dallas,Braden,9638 Chambord Ct,Sacramento,CA,94204,dallas_b89@aol.com,(916) 632-6107,2013-06-20,false,M
121639,D.J.,Countess,608 Alder Creek Dr,Sacramento,CA,94263,c_d.j.31@yahoo.com,(916) 705-6650,2012-12-11,true,M
122818,Beatrice,Abramson,716 Durness Way,Sacramento,CA,94257,beatrice.a@yahoo.com,(916) 324-4893,2012-09-14,false,F
127472,George,Stanich,4486 Gloriann Way,Ryde,CA,95680,sgeorge@fastmail.com,(916) 161-3581,2012-12-14,true,M
128131,Tim,Ocel,6962 Gardenside Ct,Sacramento,CA,95830,tim_o33@icloud.com,(916) 775-1818,2013-05-12,false,M
132454,Dawn,Childress,4237 Rock House Cir N,Sacramento,CA,95825,dawnc@mail.com,(916) 622-7783,2012-08-15,false,F
134457,Alice,Novak,1573 Layton Dr,Sacramento,CA,94273,n.alice@outlook.com,(916) 725-1543,2013-01-13,false,F
137696,Sherry,Metz,9054 Ladefonos Ct,Ryde,CA,95680,metzs@zoho.com,(916) 405-4103,2012-09-05,true,F
143878,Sylvia,Finley,4892 Waterash Way,Sacramento,CA,95821,sylviaf61@icloud.com,(916) 847-9725,2013-08-27,false,F
145929,Joyce,Meadows,3426 Cliff Breeze Pl,Sacramento,CA,95860,joycem26@gmail.com,(916) 607-8534,2013-04-20,false,F
147216,Cassandra,Whyte,7635 Amelia Earhart Ave,Sacramento,CA,95838,c.whyte71@hotmail.com,(916) 454-6170,2013-05-29,false,F
147218,Madeleine,Savoie,884 J St,Sacramento,CA,94229,m.savoie@aol.com,(916) 360-9980,2013-09-14,true,F
147543,Bud,Stewart,211 Maple Glen Rd,Sacramento,CA,94273,bstewart@aol.com,(916) 306-2673,2012-07-26,true,M
149240,Frenchy,Bordagaray,7125 Fig St,Sacramento,CA,94237,frenchy.b@outlook.com,(916) 767-7375,2012-12-01,false,M
154427,Mark,McLemore,1215 Rodeo Dr,Sacramento,CA,95860,mmark@aol.com,(916) 427-5321,2013-01-18,true,M
157388,David,Cooke,9830 Bradshaw Rd,Sacramento,CA,94288,david_c78@aol.com,(916) 884-9338,2012-11-24,false,M
157695,Catherine,Doane,7530 Silent Wings Way,Sacramento,CA,94207,catherine_d44@mail.com,(916) 234-4342,2013-03-08,true,F
158310,Doris,Garrett,2178 Yellowhammer Ct,Carmichael,CA,95608,garrett.d@hotmail.com,(916) 637-6027,2012-09-14,false,F
158528,Lauren,McFall,7229 Calle Verde Ct,Sacramento,CA,95813,mcfall_l@fastmail.com,(916) 631-0207,2013-05-31,true,F
160392,Randall,Bal,136 Marble Crest Ct,Courtland,CA,95615,randall_b@mail.com,(916) 745-1867,2012-07-23,false,M
161175,Adam,Jennings,1063 Wintermist Ct,Sacramento,CA,95813,jennings_a@hotmail.com,(916) 920-8314,2013-08-01,false,M
161942,Harvey,Nitz,8146 Meghan Way,Sacramento,CA,94254,harvey.n@mail.com,(916) 847-7490,2012-08-15,false,M
162236,Naomi,Donald,3661 Symphony Ct,Sacramento,CA,94206,dnaomi1@fastmail.com,(916) 873-6274,2013-01-02,true,F
166135,Adam,Jahn,138 Petaluma Ct,Folsom,CA,95763,adam.j@gmail.com,(916) 414-1121,2012-07-09,false,M
166612,Eric,Hansen,809 Rancho Roble Way,Sacramento,CA,94284,ehansen@icloud.com,(916) 926-3079,2012-07-04,false,M
166735,Susan,Howard,9290 Winoco Ct,Sacramento,CA,94279,showard45@mail.com,(916) 994-3095,2013-01-10,false,F
168607,Angela,Metzger,4482 Stillwater Way,Sacramento,CA,94239,angela.m@icloud.com,(916) 718-6376,2013-03-23,false,F
170500,Violet,Ramey,2398 Brand Way,Sacramento,CA,95853,rameyv72@outlook.com,(916) 185-1028,2012-11-01,false,F
173125,Timothy,Busfield,7453 Halo Ave,Sacramento,CA,95866,b_timothy@hotmail.com,(916) 944-4071,2013-07-27,false,M
173380,Charles,Mann,3691 Fox Hollow Ln,Citrus Heights,CA,95611,charlesm7@gmail.com,(916) 808-5313,2013-05-24,false,M
175871,Larry,Linville,4792 Butterfield Way,Sacramento,CA,95899,llarry@mail.com,(916) 602-0788,2012-11-05,true,M
175940,Derek,Miles,4409 Brook Bay Way,Walnut Grove,CA,95690,mderek@icloud.com,(916) 920-3277,2012-07-19,false,M
178806,Mary,Whipple,8552 Meadowglen Ave,Sacramento,CA,94205,mary.w@icloud.com,(916) 334-1354,2013-03-18,false,F
182040,Matt,Walbeck,910 Garner Ct,Sacramento,CA,94232,mwalbeck@yahoo.com,(916) 626-7780,2013-04-19,false,M
183797,Maxine,Hamer,383 Colonsay Way,Rancho Cordova,CA,95741,maxineh6@mail.com,(916) 760-1573,2012-11-11,false,F
185863,Constance,Gonzalez,1684 Country Haven Ct,Elk Grove,CA,95624,c.gonzalez@aol.com,(916) 530-7548,2013-06-11,true,F
186353,Edith,Hutton,5581 Merton Way,Sacramento,CA,95815,edith.h@mail.com,(916) 231-7479,2013-04-25,false,F
189441,Jim,Loscutoff,1526 Holiday Cove Ct,Sacramento,CA,94252,l_jim@outlook.com,(916) 758-2944,2013-04-28,true,M
189953,Brenda,Song,7324 Moddison Ave,Carmichael,CA,95608,sbrenda@gmail.com,(916) 764-0472,2012-08-11,false,F
190721,Priscilla,Oliver,1339 Loazell Ct,Sacramento,CA,95823,o.priscilla@aol.com,(916) 437-6201,2012-10-22,false,F
191050,Charlene,Boss,9938 Longridge Way,Sacramento,CA,95864,boss.c@icloud.com,(916) 691-8473,2013-09-12,false,F
191951,Megan,Musgrove,3465 Pepperwood Knoll Ln,Sacramento,CA,94285,megan_m@outlook.com,(916) 636-4293,2013-05-06,false,F
192738,Steve,Sax,3117 Glacken Way,Sacramento,CA,94257,steve.s@aol.com,(916) 626-8021,2013-05-20,false,M
193914,Toni,Storey,6919 Middle River Ct,Sacramento,CA,94262,t_storey37@gmail.com,(916) 273-0311,2013-05-04,false,F
193968,Marjorie,Pettus,2049 Meadowbrook Rd,Sacramento,CA,94294,p_marjorie@yahoo.com,(916) 926-9258,2012-10-13,false,F
194680,Sasha,Victorine,2258 Bowie Ct,Courtland,CA,95615,victorine.s@mail.com,(916) 126-2016,2013-04-07,false,M
196068,Theresa,Mireles,1869 Bulwick Ct,Sacramento,CA,95816,m_theresa83@mail.com,(916) 930-1409,2013-07-05,true,F
197102,Renee,Galyan,8918 Mossy Bank Dr,Sacramento,CA,94207,g_renee59@yahoo.com,(916) 574-6429,2013-07-11,true,F
199895,Philip,Levine,6467 Ferragamo Way,Sacramento,CA,95835,lphilip24@yahoo.com,(916) 426-0676,2012-10-07,false,M
200272,Jane,O'Neill,3709 Sunfaire Ln,Mather,CA,95655,ojane@hotmail.com,(916) 347-7544,2013-03-07,true,F
202612,LeVar,Burton,9224 Belladonna Ct,Sacramento,CA,94271,b_levar@mail.com,(916) 123-3788,2013-07-17,false,M
203787,Amanda,Kershaw,4297 Ewing Way,Sacramento,CA,95832,kamanda31@gmail.com,(916) 188-3840,2012-11-03,false,F
204295,Opal,Barnette,8828 Ost Pl,Sacramento,CA,94245,opalb94@hotmail.com,(916) 646-3176,2013-02-12,false,F
205190,Lincoln,Steffens,61 Explorer Dr,Folsom,CA,95763,l_steffens@mail.com,(916) 692-3299,2013-04-27,false,M
205878,Ryan,Coogler,8369 Sadie Ct,Sacramento,CA,95820,ryan_c1@gmail.com,(916) 646-3438,2013-09-14,true,M
205927,Anthony,Swofford,465 Jacinto Ave,North Highlands,CA,95660,aswofford@gmail.com,(916) 750-9615,2013-07-27,false,M
206078,Marcos,Breton,4004 Fall River Way,Sacramento,CA,94244,b.marcos46@gmail.com,(916) 992-5021,2012-08-17,false,M
207846,Urijah,Faber,7424 Long River Dr,Sacramento,CA,95837,urijahf@gmail.com,(916) 206-7224,2012-07-03,true,M
214537,Sue,Gregory,5936 Cedar Rock Cir,Sacramento,CA,95836,gregory_s5@gmail.com,(916) 253-5310,2012-10-21,false,F
216081,Jeff,Float,9135 Roemer Ln,Sacramento,CA,94277,f_jeff12@aol.com,(916) 610-6682,2013-04-27,false,M
216475,Eleanor,Dillow,4027 Mountain View Ave,Sacramento,CA,95887,edillow@gmail.com,(916) 969-3760,2013-08-16,true,F
218889,Doris,Morelli,736 Mahonia Cir,Isleton,CA,95641,m_doris@aol.com,(916) 847-9046,2013-01-24,true,F
220206,Brent,Bourgeois,4967 Kimmie Ct,Sacramento,CA,94249,bourgeois_b23@icloud.com,(916) 551-1671,2013-02-19,true,M
224094,Lynn,Newhart,1676 San Mateo Ct,Antelope,CA,95843,lynn.n@zoho.com,(916) 933-9057,2013-03-10,true,F
225489,Annette,Woolard,342 Manmar Way,Walnut Grove,CA,95690,annettew25@outlook.com,(916) 544-3564,2013-01-14,true,F
226209,Tim,McCord,5383 Tanzanite Way,Wilton,CA,95693,tim.m@gmail.com,(916) 163-1292,2013-03-12,false,M
226909,Sandie,Reed,8291 Munson Way,Sacramento,CA,95814,s.reed@aol.com,(916) 616-1159,2013-09-10,false,F
227372,Peg,Winchester,3546 Glen Springs Way,Elverta,CA,95626,w.peg@mail.com,(916) 692-8007,2012-10-28,false,F
227456,Kathy,Kerr,6709 Ashford Hill Pl,Sacramento,CA,94294,k.kerr@hotmail.com,(916) 501-3274,2012-10-27,true,F
229742,Annette,Nielsen,9472 Calistoga Way,Carmichael,CA,95609,annetten33@yahoo.com,(916) 474-2055,2013-01-08,true,F
230467,Erik,Lobo,224 Tennis Ct,Sacramento,CA,95837,lobo.e@yahoo.com,(916) 729-8525,2013-08-03,true,M
230602,May,Tapp,1672 Olympic Way,Sacramento,CA,95829,t_may@yahoo.com,(916) 404-1739,2012-11-23,true,F
231615,Richard,Rodriguez,8026 Bowen Cir,Sacramento,CA,94205,richard.r@mail.com,(916) 353-4694,2013-08-22,false,M
233813,J.P.,Howell,4946 Dylan Ave,Sacramento,CA,94204,j.p.h@icloud.com,(916) 893-1158,2013-06-23,false,M
233956,James,Irvin,4934 Sage Thrasher Cir,Elverta,CA,95626,irvinj77@aol.com,(916) 569-3706,2013-01-15,false,M
235720,Loreto,Garza,6290 Sandpointe Ct,Sacramento,CA,94287,loreto_g@mail.com,(916) 619-2434,2013-08-16,false,M
236554,Rich,Manning,919 Idle Wild Way,Sacramento,CA,94208,manning_r@icloud.com,(916) 521-8440,2013-04-19,false,M
238347,Candace,Askins,1014 Viking Dr,Sacramento,CA,94229,candace.a@mail.com,(916) 609-8271,2012-10-24,true,F
240205,Anna,Mcconnell,4241 Elbert Way,Sacramento,CA,95812,anna.m@zoho.com,(916) 195-1397,2012-09-05,true,F
241144,Verna,Alfred,5388 Delwood Way,Sacramento,CA,95821,v.alfred@mail.com,(916) 315-0845,2013-07-03,false,F
242720,Randy,Lerch,690 E Elkhorn Blvd,North Highlands,CA,95660,l.randy@mail.com,(916) 548-1298,2013-03-24,true,M
244282,Sabrina,Hansen,9 Dondra Way,Sacramento,CA,95899,hansens@mail.com,(916) 772-7635,2013-01-16,false,F
245577,Kevin,Sharp,8650 Moffatt Way,Sacramento,CA,94248,kevin.s11@yahoo.com,(916) 486-2037,2013-01-20,false,M
247216,Chloe,Sutton,3571 Weldon Way,Sacramento,CA,94285,schloe@outlook.com,(916) 819-9818,2012-12-03,true,F
